VirtualAddress: 0xaaaab8ee7000L, PFN: 0xb76a3L, Flags: 0x480000086c, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xaaaab8ef8000L, PFN: 0xb8e72L, Flags: 0x5868, Excl: 0x1, Pres: 0x1, Perm: r--p 
VirtualAddress: 0xaaaab8ef9000L, PFN: 0x812e1L, Flags: 0x5868, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xaaaaea0dc000L, PFN: 0xbab7fL, Flags: 0x5848, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xaaaaea0dd000L, PFN: 0xbab7eL, Flags: 0x5848, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xffff932c8000L, PFN: 0x80057L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932c9000L, PFN: 0x83f0cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932ca000L, PFN: 0x83f0dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932cb000L, PFN: 0x813e4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932cc000L, PFN: 0xbfc3eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932cd000L, PFN: 0xbfc6dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932ce000L, PFN: 0x813ddL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932cf000L, PFN: 0x813c9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d0000L, PFN: 0x813beL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d1000L, PFN: 0x813bfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d2000L, PFN: 0x84340L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d3000L, PFN: 0x84341L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d4000L, PFN: 0x83f30L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d5000L, PFN: 0x83f31L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d6000L, PFN: 0x8108cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d7000L, PFN: 0x8108dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d8000L, PFN: 0xbb1beL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932d9000L, PFN: 0xbb1bfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932da000L, PFN: 0xbb1c8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932db000L, PFN: 0xbb1c9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932dc000L, PFN: 0xbb20aL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932dd000L, PFN: 0xbb20bL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932de000L, PFN: 0x81350L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932df000L, PFN: 0xbb1dcL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e0000L, PFN: 0xbb1ddL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e1000L, PFN: 0x81294L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e2000L, PFN: 0x81295L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e3000L, PFN: 0x81296L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e4000L, PFN: 0x81297L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e5000L, PFN: 0xbb1d8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e6000L, PFN: 0xbb1d9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e7000L, PFN: 0xbb1daL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e8000L, PFN: 0xbb1dbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932e9000L, PFN: 0x83ed4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932ea000L, PFN: 0x83ed5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932eb000L, PFN: 0x83ed6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932ec000L, PFN: 0x83ed7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932ed000L, PFN: 0x83fb0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932ee000L, PFN: 0x83fb1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f0000L, PFN: 0x80fd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f1000L, PFN: 0x813a8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f2000L, PFN: 0xbfd2dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f3000L, PFN: 0xbfc05L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f4000L, PFN: 0x80fa9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f5000L, PFN: 0x80f87L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f6000L, PFN: 0xbfcb0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f7000L, PFN: 0x813faL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f8000L, PFN: 0xbfe1eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932f9000L, PFN: 0x812a6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932fa000L, PFN: 0xbfe24L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932fb000L, PFN: 0xbfca0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932fc000L, PFN: 0x83f48L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932fd000L, PFN: 0xbfcb8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932fe000L, PFN: 0x84345L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff932ff000L, PFN: 0xbfdc4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93320000L, PFN: 0xbafbeL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93321000L, PFN: 0xbafbfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93322000L, PFN: 0xbafc0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93323000L, PFN: 0xbafc1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93324000L, PFN: 0xbafc2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93325000L, PFN: 0xbafc3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93326000L, PFN: 0xbafc4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93327000L, PFN: 0xbafc5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93328000L, PFN: 0xbafc6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93329000L, PFN: 0xbafc7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332a000L, PFN: 0xbafc9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332b000L, PFN: 0xbafcaL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332c000L, PFN: 0xbafcbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332d000L, PFN: 0xbafccL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332e000L, PFN: 0xbafcdL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9332f000L, PFN: 0xbafceL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93330000L, PFN: 0xbafcfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93331000L, PFN: 0xbafd0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93332000L, PFN: 0xbafd1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93333000L, PFN: 0xbafd2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93334000L, PFN: 0xbafd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93335000L, PFN: 0xbafd4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93336000L, PFN: 0xbacc4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93337000L, PFN: 0xbacc5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93338000L, PFN: 0xbacc6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93339000L, PFN: 0xbacc7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333a000L, PFN: 0xbacc8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333b000L, PFN: 0xbacc9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333c000L, PFN: 0xbaccaL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333d000L, PFN: 0xbaccbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333e000L, PFN: 0xbacccL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff9333f000L, PFN: 0xbaccdL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93340000L, PFN: 0xbacceL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93341000L, PFN: 0xbaccfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93342000L, PFN: 0xbacd0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93343000L, PFN: 0xbacd1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93344000L, PFN: 0xbacd2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93345000L, PFN: 0xbacd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffff93346000L, PFN: 0xbacd4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
