VirtualAddress: 0xaaaaddd63000L, PFN: 0x9134aL, Flags: 0x440000086c, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xaaaaddd64000L, PFN: 0xb1583L, Flags: 0x440000086c, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xaaaaddd74000L, PFN: 0x950caL, Flags: 0x5868, Excl: 0x1, Pres: 0x1, Perm: r--p 
VirtualAddress: 0xaaaaddd75000L, PFN: 0xb8b82L, Flags: 0x5868, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xaaaadf616000L, PFN: 0x8322aL, Flags: 0x5848, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xaaaadf627000L, PFN: 0x85c8aL, Flags: 0x5848, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xaaaadf628000L, PFN: 0xb87e6L, Flags: 0x5848, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xaaaadf629000L, PFN: 0xb0730L, Flags: 0x5848, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xaaaadf62a000L, PFN: 0xb06dcL, Flags: 0x5848, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0xffffb3418000L, PFN: 0x80057L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3419000L, PFN: 0x83f0cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb341a000L, PFN: 0x83f0dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb341b000L, PFN: 0x813e4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb341c000L, PFN: 0xbfc3eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb341d000L, PFN: 0xbfc6dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb341e000L, PFN: 0x813ddL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb341f000L, PFN: 0x813c9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3420000L, PFN: 0x813beL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3421000L, PFN: 0x813bfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3422000L, PFN: 0x84340L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3423000L, PFN: 0x84341L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3424000L, PFN: 0x83f30L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3425000L, PFN: 0x83f31L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3426000L, PFN: 0x8108cL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3427000L, PFN: 0x8108dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3428000L, PFN: 0xbb1beL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3429000L, PFN: 0xbb1bfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb342a000L, PFN: 0xbb1c8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb342b000L, PFN: 0xbb1c9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb342c000L, PFN: 0xbb20aL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb342d000L, PFN: 0xbb20bL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb342e000L, PFN: 0x81350L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb342f000L, PFN: 0xbb1dcL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3430000L, PFN: 0xbb1ddL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3431000L, PFN: 0x81294L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3432000L, PFN: 0x81295L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3433000L, PFN: 0x81296L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3434000L, PFN: 0x81297L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3435000L, PFN: 0xbb1d8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3436000L, PFN: 0xbb1d9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3437000L, PFN: 0xbb1daL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3438000L, PFN: 0xbb1dbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3439000L, PFN: 0x83ed4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb343a000L, PFN: 0x83ed5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb343b000L, PFN: 0x83ed6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb343c000L, PFN: 0x83ed7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb343d000L, PFN: 0x83fb0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb343e000L, PFN: 0x83fb1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3440000L, PFN: 0x80fd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3441000L, PFN: 0x813a8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3442000L, PFN: 0xbfd2dL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3443000L, PFN: 0xbfc05L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3444000L, PFN: 0x80fa9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3445000L, PFN: 0x80f87L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3446000L, PFN: 0xbfcb0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3447000L, PFN: 0x813faL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3448000L, PFN: 0xbfe1eL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3449000L, PFN: 0x812a6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb344a000L, PFN: 0xbfe24L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb344b000L, PFN: 0xbfca0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb344c000L, PFN: 0x83f48L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb344d000L, PFN: 0xbfcb8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb344e000L, PFN: 0x84345L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb344f000L, PFN: 0xbfdc4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3480000L, PFN: 0xbafcfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3481000L, PFN: 0xbafd0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3482000L, PFN: 0xbafd1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3483000L, PFN: 0xbafd2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3484000L, PFN: 0xbafd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3485000L, PFN: 0xbafd4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3486000L, PFN: 0xbacc4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3487000L, PFN: 0xbacc5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3488000L, PFN: 0xbacc6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3489000L, PFN: 0xbacc7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb348a000L, PFN: 0xbacc8L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb348b000L, PFN: 0xbacc9L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb348c000L, PFN: 0xbaccaL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb348d000L, PFN: 0xbaccbL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb348e000L, PFN: 0xbacccL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb348f000L, PFN: 0xbaccdL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3490000L, PFN: 0xbacceL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3491000L, PFN: 0xbaccfL, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3492000L, PFN: 0xbacd0L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3493000L, PFN: 0xbacd1L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3494000L, PFN: 0xbacd2L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3495000L, PFN: 0xbacd3L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3496000L, PFN: 0xbacd4L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3497000L, PFN: 0xbacd5L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3498000L, PFN: 0xbacd6L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0xffffb3499000L, PFN: 0xbacd7L, Flags: 0x440000086c, Excl: 0x0, Pres: 0x1, Perm: r-xp 
