VirtualAddress: 0x10000L, PFN: 0x997fdL, Flags: 0x4400000868, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x12000L, PFN: 0xa32dfL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x13000L, PFN: 0xa48a0L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x14000L, PFN: 0xbb14dL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x15000L, PFN: 0xbb14cL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x16000L, PFN: 0xbb14bL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x17000L, PFN: 0x8ac12L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x18000L, PFN: 0x8ac11L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x19000L, PFN: 0x8ac10L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x1a000L, PFN: 0x8ac0fL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x1b000L, PFN: 0x8ac0eL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x1c000L, PFN: 0x8ac0dL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x1d000L, PFN: 0x8ac0cL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x1e000L, PFN: 0x8ac0bL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x1f000L, PFN: 0x8ac0aL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x20000L, PFN: 0x8ac09L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x21000L, PFN: 0x8ac08L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x22000L, PFN: 0x8ac07L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
